brand,name,type,purpose,indications_and_usage,description,dosage,dataset,cluster,cuaca,demografi,
241,['Testone CIK'],"['TESTOSTERONE CYPIONATE, ALCOHOL']",['HUMAN PRESCRIPTION DRUG'],['Use: For preparation of the skin prior to injection.'],"['INDICATIONS AND USAGE Testosterone Cypionate Injection, USP is indicated for replacement therapy in the male in conditions associated with symptoms of deficiency, or absence of endogenous testosterone. Primary hypogonadism (congenital or acquired): testicular failure due to cryptorchidism, bilateral torsion, orchitis, vanishing testis syndrome; or orchidectomy. Hypogonadotropic hypogonadism (congenital or acquired): gonadotropin or luteinizing hormone-releasing hormone (LHRH) deficiency, or pituitary-hypothalamic injury from tumors, trauma, or radiation. Safety and efficacy of testosterone cypionate in men with “age-related hypogonadism” (also referred to as “late-onset hypogonadism”) have not been established.']","['DESCRIPTION Testosterone Cypionate Injection, USP for intramuscular injection, contains Testosterone Cypionate, USP which is the oil-soluble 17 (beta)- cyclopentylpropionate ester of the androgenic hormone testosterone. Testosterone Cypionate, USP is a white or creamy white crystalline powder, odorless or nearly so and stable in air. It is insoluble in water, freely soluble in alcohol, chloroform, dioxane, ether, and soluble in vegetable oils. The chemical name for Testosterone Cypionate, USP is androst-4-en-3-one,17-(3-cyclopentyl-1- oxopropoxy)-, (17ß)-. Its molecular formula is C 27 H 40 O 3 , and the molecular weight 412.61. The structural formula is represented below: Testosterone Cypionate Injection, USP is available in one strength, 200 mg/mL Testosterone Cypionate, USP. Each mL of the 200 mg/mL solution contains: Testosterone Cypionate, USP 200 mg Benzyl Benzoate, USP 0.2 mL Cottonseed Oil, USP 560 mg Benzyl Alcohol, USP (as preservative) 9.45 mg Chemical Structure']","['DOSAGE AND ADMINISTRATION Prior to initiating testosterone cypionate, confirm the diagnosis of hypogonadism by ensuring that serum testosterone concentrations have been measured in the morning on at least two separate days and that these serum testosterone concentrations are below the normal range. Testosterone cypionate injection is for intramuscular use only. It should not be given intravenously. Intramuscular injections should be given deep in the gluteal muscle. The suggested dosage for testosterone cypionate injection varies depending on the age, sex, and diagnosis of the individual patient. Dosage is adjusted according to the patient’s response and the appearance of adverse reactions. Various dosage regimens have been used to induce pubertal changes in hypogonadal males; some experts have advocated lower dosages initially, gradually increasing the dose as puberty progresses, with or without a decrease to maintenance levels. Other experts emphasize that higher dosages are needed to induce pubertal changes and lower dosages can be used for maintenance after puberty. The chronological and skeletal ages must be taken into consideration, both in determining the initial dose and in adjusting the dose. For replacement in the hypogonadal male, 50 to 400 mg should be administered every two to four weeks. Parenteral drug products should be inspected visually for particulate matter and discoloration prior to administration, whenever solution and container permit. Warming and shaking the vial should redissolve any crystals that may have formed during storage at temperatures lower than recommended.', 'Directions: Wipe injection site vigorously and discard']",0,0,1,[2]
823,['Dr. Joe lab ACNE CONTROL CLARIFYING CLEANSER DR JOE LAB'],['ACNE CONTROL CLARIFYING CLEANSER'],['HUMAN OTC DRUG'],['Uses Acne control clarifying cleanser'],['treats acne helps prevent new acne'],['Description SLS FREE PARABEN FREE ALCOHOL FREE 2% Salicyclic acid with formulated with azeliac acid and piroctone olamine for extra strength'],['how to use gentle massage on affect area and remove it with lukewarm water'],0,0,1,"[1,2]"
1063,['Multi-Specialty Kit'],"['DEPO-MEDROL, LIDOCAINE, ISOPROPYL ALCOHOL']",['HUMAN PRESCRIPTION DRUG'],['Purpose Antiseptic'],"['INDICATIONS AND USAGE A. For Intramuscular Administration When oral therapy is not feasible and the strength, dosage form, and route of administration of the drug reasonably lend the preparation to the treatment of the condition, the intramuscular use of methylprednisolone acetate injectable suspension is indicated as follows: Allergic States : Control of severe or incapacitating allergic conditions intractable to adequate trials of conventional treatment in asthma, atopic dermatitis, contact dermatitis, drug hypersensitivity reactions, serum sickness, transfusion reactions. Dermatologic Diseases : Bullous dermatitis herpetiformis, exfoliative dermatitis, mycosis fungoides, pemphigus, severe erythema multiforme (Stevens-Johnson syndrome). Endocrine Disorders : Primary or secondary adrenocortical insufficiency (hydrocortisone or cortisone is the drug of choice; synthetic analogs may be used in conjunction with mineralocorticoids where applicable; in infancy, mineralocorticoid supplementation is of particular importance), congenital adrenal hyperplasia, hypercalcemia associated with cancer, nonsupportive thyroiditis. Gastrointestinal Diseases : To tide the patient over a critical period of the disease in regional enteritis (systemic therapy) and ulcerative colitis. Hematologic Disorders : Acquired (autoimmune) hemolytic anemia, congenital (erythroid) hypoplastic anemia (Diamond Blackfan anemia), pure red cell aplasia, select cases of secondary thrombocytopenia. Miscellaneous : Trichinosis with neurologic or myocardial involvement, tuberculous meningitis with subarachnoid block or impending block when used concurrently with appropriate antituberculous chemotherapy. Neoplastic Diseases : For palliative management of: leukemias and lymphomas. Nervous System : Cerebral edema associated with primary or metastatic brain tumor or craniotomy. Ophthalmic Diseases : Sympathetic ophthalmia, temporal arteritis, uveitis, ocular inflammatory conditions unresponsive to topical corticosteroids. Renal Diseases : To induce diuresis or remission of proteinuria in idiopathic nephrotic syndrome, or that due to lupus erythematosus. Respiratory Diseases : Berylliosis, fulminating or disseminated pulmonary tuberculosis when used concurrently with appropriate antituberculous chemotherapy, idiopathic eosinophilic pneumonias, symptomatic sarcoidosis. Rheumatic Disorders : As adjunctive therapy for short-term administration (to tide the patient over an acute episode or exacerbation) in acute gouty arthritis; acute rheumatic carditis; ankylosing spondylitis; psoriatic arthritis; rheumatoid arthritis, including juvenile rheumatoid arthritis (selected cases may require low-dose maintenance therapy). For the treatment of dermatomyositis, polymyositis, and systemic lupus erythematosus. B. For Intra-articular Or Soft Tissue Administration ( See WARNINGS ) Methylprednisolone acetate injectable suspension is indicated as adjunctive therapy for short-term administration (to tide the patient over an acute episode or exacerbation) in acute gouty arthritis, acute and subacute bursitis, acute nonspecific tenosynovitis, epicondylitis, rheumatoid arthritis, synovitis of osteoarthritis. C. For Intralesional Administration Methylprednisolone acetate injectable suspension is indicated for intralesional use in alopecia areata, discoid lupus erythematosus; keloids, localized hypertrophic, infiltrated inflammatory lesions of granuloma annulare, lichen planus, lichen simplex chronicus (neurodermatitis) and psoriatic plaques; necrobiosis lipoidica diabeticorum. Methylprednisolone acetate injectable suspension also may be useful in cystic tumors of an aponeurosis or tendon (ganglia).', 'INDICATIONS AND USAGE Lidocaine hydrochloride injection is indicated for production of local or regional anesthesia by infiltration techniques such as percutaneous injection and intravenous regional anesthesia by peripheral nerve block techniques such as brachial plexus and intercostal and by central neural techniques such as lumbar and caudal epidural blocks, when the accepted procedures for these techniques as described in standard textbooks are observed.', 'Uses For first aid to decrease germs in minor cuts scrapes burns For preparation of the skin prior to injection']","['DESCRIPTION Methylprednisolone acetate injectable suspension, USP is an anti-inflammatory glucocorticoid for intramuscular, intra-articular, soft tissue or intralesional injection. It is available as single-dose vials in two strengths: 40 mg/mL. Each mL of these preparations contains: ## 40 mg/mL Methylprednisolone Acetate, USP 40 mg Polyethylene glycol 3350 29 mg Myristyl-gamma-picolinium chloride 0.195 mg Sodium chloride was added to adjust tonicity. When necessary, pH was adjusted with sodium hydroxide and/or hydrochloric acid. The pH of the finished product remains within the USP specified range (e.g., 3.0 to 7.0). The chemical name for methylprednisolone acetate is pregna-1,4-diene-3,20-dione, 21-(acetyloxy)-11,17-dihydroxy-6-methyl-,(6a,11ß)- and the molecular weight is 416.51. The structural formula is represented below: Methylprednisolone acetate injectable suspension, USP contains methylprednisolone acetate, USP which is the 6-methyl derivative of prednisolone. Methylprednisolone acetate, USP is a white or almost white crystalline powder which melts at about 213° with some decomposition. It is soluble in dioxane, sparingly soluble in acetone, alcohol, chloroform, and methanol, and slightly soluble in ether. It is practically insoluble in water. 1', 'DESCRIPTION Lidocaine hydrochloride injection, USP is sterile, nonpyrogenic, aqueous solution that contains a local anesthetic agent and is administered parenterally by injection. See INDICATIONS AND USAGE section for specific uses. Lidocaine hydrochloride injection, USP contains lidocaine hydrochloride, which is chemically designated as acetamide, 2-(diethylamino)-N-(2,6-dimethylphenyl)-, monohydrochloride and has the molecular weight 270.8. Lidocaine hydrochloride (C 14 H 22 N 2 O • HCl) has the following structural formula: Lidocaine hydrochloride injection, USP is a sterile, nonpyrogenic, isotonic solution containing sodium chloride. The pH of the solution is adjusted to approximately 6.5 (5.0 to 7.0) with sodium hydroxide and/or hydrochloric acid. Lidocaine Chemical Structure']","['DOSAGE AND ADMINISTRATION Because of possible physical incompatibilities, methylprednisolone acetate injectable suspension should not be diluted or mixed with other solutions. The initial dosage of parenterally administered methylprednisolone acetate injectable suspension will vary from 4 mg to 120 mg, depending on the specific disease entity being treated. However, in certain overwhelming, acute, life-threatening situations, administration in dosages exceeding the usual dosages may be justified and may be in multiples of the oral dosages. It Should Be Emphasized that Dosage Requirements Are Variable and Must Be Individualized on the Basis of the Disease Under Treatment and the Response of the Patient. After a favorable response is noted, the proper maintenance dosage should be determined by decreasing the initial drug dosage in small decrements at appropriate time intervals until the lowest dosage which will maintain an adequate clinical response is reached. Situations which may make dosage adjustments necessary are changes in clinical status secondary to remissions or exacerbations in the disease process, the patient’s individual drug responsiveness, and the effect of patient exposure to stressful situations not directly related to the disease entity under treatment. In this latter situation, it may be necessary to increase the dosage of the corticosteroid for a period of time consistent with the patient’s condition. If after long-term therapy the drug is to be stopped, it is recommended that it be withdrawn gradually rather than abruptly. A. Administration for Local Effect Therapy with methylprednisolone acetate injectable suspension does not obviate the need for the conventional measures usually employed. Although this method of treatment will ameliorate symptoms, it is in no sense a cure and the hormone has no effect on the cause of the inflammation. 1. Rheumatoid Arthritis and Osteoarthritis. The dose for intra-articular administration depends upon the size of the joint and varies with the severity of the condition in the individual patient. In chronic cases, injections may be repeated at intervals ranging from one to five or more weeks, depending upon the degree of relief obtained from the initial injection. The doses in the following table are given as a general guide: Size of Joint Examples Range of Dosage Large Knees Ankles Shoulders 20 mg to 80 mg Medium Elbows Wrists 10 mg to 40 mg Small Metacarpophalangeal Interphalangeal Sternoclavicular Acromioclavicular 4 mg to 10 mg Procedure: It is recommended that the anatomy of the joint involved be reviewed before attempting intra-articular injection. In order to obtain the full anti-inflammatory effect, it is important that the injection be made into the synovial space. Employing the same sterile technique as for a lumbar puncture, a sterile 20 to 24 gauge needle (on a dry syringe) is quickly inserted into the synovial cavity. Procaine infiltration is elective. The aspiration of only a few drops of joint fluid proves the joint space has been entered by the needle. The injection site for each joint is determined by that location where the synovial cavity is most superficial and most free of large vessels and nerves. With the needle in place, the aspirating syringe is removed and replaced by a second syringe containing the desired amount of methylprednisolone acetate injectable suspension. The plunger is then pulled outward slightly to aspirate synovial fluid and to make sure the needle is still in the synovial space. After injection, the joint is moved gently a few times to aid mixing of the synovial fluid and the suspension. The site is covered with a small sterile dressing. Suitable sites for intra-articular injection are the knee, ankle, wrist, elbow, shoulder, phalangeal, and hip joints. Since difficulty is not infrequently encountered in entering the hip joint, precautions should be taken to avoid any large blood vessels in the area. Joints not suitable for injection are those that are anatomically inaccessible such as the spinal joints and those like the sacroiliac joints that are devoid of synovial space. Treatment failures are most frequently the result of failure to enter the joint space. Little or no benefit follows injection into surrounding tissue. If failures occur when injections into the synovial spaces are certain, as determined by aspiration of fluid, repeated injections are usually futile. If a local anesthetic is used prior to injection of methylprednisolone acetate injectable suspension, the anesthetic package insert should be read carefully and all the precautions observed. 2. Bursitis . The area around the injection site is prepared in a sterile way and a wheal at the site made with 1 percent procaine hydrochloride solution. A 20 to 24 gauge needle attached to a dry syringe is inserted into the bursa and the fluid aspirated. The needle is left in place and the aspirating syringe changed for a small syringe containing the desired dose. After injection, the needle is withdrawn and a small dressing applied. 3. Miscellaneous: Ganglion, Tendinitis, Epicondylitis. In the treatment of conditions such as tendinitis or tenosynovitis, care should be taken following application of a suitable antiseptic to the overlying skin to inject the suspension into the tendon sheath rather than into the substance of the tendon. The tendon may be readily palpated when placed on a stretch. When treating conditions such as epicondylitis, the area of greatest tenderness should be outlined carefully and the suspension infiltrated into the area. For ganglia of the tendon sheaths, the suspension is injected directly into the cyst. In many cases, a single injection causes a marked decrease in the size of the cystic tumor and may effect disappearance. The usual sterile precautions should be observed, of course, with each injection. The dose in the treatment of the various conditions of the tendinous or bursal structures listed above varies with the condition being treated and ranges from 4 mg to 30 mg. In recurrent or chronic conditions, repeated injections may be necessary. 4. Injections for Local Effect in Dermatologic Conditions . Following cleansing with an appropriate antiseptic such as 70% alcohol, 20 mg to 60 mg is injected into the lesion. It may be necessary to distribute doses ranging from 20 mg to 40 mg by repeated local injections in the case of large lesions. Care should be taken to avoid injection of sufficient material to cause blanching since this may be followed by a small slough. One to four injections are usually employed, the intervals between injections varying with the type of lesion being treated and the duration of improvement produced by the initial injection. B. Administration for Systemic Effect The intramuscular dosage will vary with the condition being treated. When employed as a temporary substitute for oral therapy, a single injection during each 24-hour period of a dose of the suspension equal to the total daily oral dose of methylprednisolone tablets, USP is usually sufficient. When a prolonged effect is desired, the weekly dose may be calculated by multiplying the daily oral dose by 7 and given as a single intramuscular injection. In pediatric patients, the initial dose of methylprednisolone may vary depending on the specific disease entity being treated. Dosage must be individualized according to the severity of the disease and response of the patient. The recommended dosage may be reduced for pediatric patients, but dosage should be governed by the severity of the condition rather than by strict adherence to the ratio indicated by age or body weight. In patients with the adrenogenital syndrome , a single intramuscular injection of 40 mg every two weeks may be adequate. For maintenance of patients with rheumatoid arthritis , the weekly intramuscular dose will vary from 40 mg to 120 mg. The usual dosage for patients with dermatologic lesions benefited by systemic corticoid therapy is 40 mg to 120 mg of methylprednisolone acetate administered intramuscularly at weekly intervals for one to four weeks. In acute severe dermatitis due to poison ivy, relief may result within 8 to 12 hours following intramuscular administration of a single-dose of 80 mg to 120 mg. In chronic contact dermatitis, repeated injections at 5 to 10 day intervals may be necessary. In seborrheic dermatitis, a weekly dose of 80 mg may be adequate to control the condition. Following intramuscular administration of 80 mg to 120 mg to asthmatic patients, relief may result within 6 to 48 hours and persist for several days to two weeks. If signs of stress are associated with the condition being treated, the dosage of the suspension should be increased. If a rapid hormonal effect of maximum intensity is required, the intravenous administration of highly soluble methylprednisolone sodium succinate is indicated. For the purpose of comparison, the following is the equivalent milligram dose of the various glucocorticoids: Cortisone, 25 Triamcinolone, 4 Hydrocortisone, 20 Paramethasone, 2 Prednisolone, 5 Betamethasone, 0.75 Prednisone, 5 Dexamethasone, 0.75 Methylprednisolone, 4 These dose relationships apply only to oral or intravenous administration of these compounds. When these substances or their derivatives are injected intramuscularly or into joint spaces, their relative properties may be greatly altered.', 'DOSAGE AND ADMINISTRATION Table 1 (Recommended Dosages) summarizes the recommended volumes and concentrations of lidocaine hydrochloride injection for various types of anesthetic procedures. The dosages suggested in this table are for normal healthy adults and refer to the use of epinephrine-free solutions. When larger volumes are required, only solutions containing epinephrine should be used except in those cases where vasopressor drugs may be contraindicated. There have been adverse event reports of chondrolysis in patients receiving intra-articular infusions of local anesthetics following arthroscopic and other surgical procedures. Lidocaine hydrochloride injection is not approved for this use (see WARNINGS and DOSAGE AND ADMINISTRATION ). These recommended doses serve only as a guide to the amount of anesthetic required for most routine procedures. The actual volumes and concentrations to be used depend on a number of factors such as type and extent of surgical procedure, depth of anesthesia and degree of muscular relaxation required, duration of anesthesia required, and the physical condition of the patient. In all cases the lowest concentration and smallest dose that will produce the desired result should be given. Dosages should be reduced for children and for the elderly and debilitated patients and patients with cardiac and/or liver disease. The onset of anesthesia, the duration of anesthesia and the degree of muscular relaxation are proportional to the volume and concentration (i.e., total dose) of local anesthetic used. Thus, an increase in volume and concentration of lidocaine hydrochloride injection will decrease the onset of anesthesia, prolong the duration of anesthesia, provide a greater degree of muscular relaxation and increase the segmental spread of anesthesia. However, increasing the volume and concentration of lidocaine hydrochloride injection may result in a more profound fall in blood pressure when used in epidural anesthesia. Although the incidence of side effects with lidocaine hydrochloride is quite low, caution should be exercised when employing large volumes and concentrations, since the incidence of side effects is directly proportional to the total dose of local anesthetic agent injected. Epidural Anesthesia For epidural anesthesia, only the following dosage forms of lidocaine hydrochloride injection are recommended: 1% without epinephrine 5 mL ampules 2% without epinephrine 2 mL ampules Although these solutions are intended specifically for epidural anesthesia, they may also be used for infiltration and peripheral nerve block, provided they are employed as single dose units. These solutions contain no bacteriostatic agent. In epidural anesthesia, the dosage varies with the number of dermatomes to be anesthetized (generally 2 to 3 mL of the indicated concentration per dermatome). Caudal and Lumbar Epidural Block As a precaution against the adverse experience sometimes observed following unintentional penetration of the subarachnoid space, a test dose such as 2 to 3 mL of 1.5% lidocaine hydrochloride should be administered at least 5 minutes prior to injecting the total volume required for a lumbar or caudal epidural block. The test dose should be repeated if the patient is moved in a manner that may have displaced the catheter. Epinephrine, if contained in the test dose (10 to 15 mcg have been suggested), may serve as a warning of unintentional intravascular injection. If injected into a blood vessel, this amount of epinephrine is likely to produce a transient “epinephrine response” within 45 seconds, consisting of an increase in heart rate and systolic blood pressure, circumoral pallor, palpitations and nervousness in the unsedated patient. The sedated patient may exhibit only a pulse rate increase of 20 or more beats per minute for 15 or more seconds. Patients on beta blockers may not manifest changes in heart rate, but blood pressure monitoring can detect an evanescent rise in systolic blood pressure. Adequate time should be allowed for onset of anesthesia after administration of each test dose. The rapid injection of a large volume of lidocaine hydrochloride injection through the catheter should be avoided, and, when feasible, fractional doses should be administered. In the event of the known injection of a large volume of local anesthetic solution into the subarachnoid space, after suitable resuscitation and if the catheter is in place, consider attempting the recovery of drug by draining a moderate amount of cerebrospinal fluid (such as 10 mL) through the epidural catheter.', 'Directions apply to skin as needed discard after single use']",0,0,1,"[1,2]"
1072,['Dove'],['HAND SANITIZER LAVENDER'],['HUMAN OTC DRUG'],['Purpose Antiseptic'],['Uses • Hand sanitizer to help reduce bacteria on the skin. For use when soap and water are not available.'],['DOVE NOURISHING HAND SANITIZER LAVENDER & CHAMOMILE 8H MOISTURIZATION - Ethyl Alcohol gel Dove Nourishing Hand Sanitizer Lavender & Chamomile 8h Moisturization'],['Directions • Wet hands thoroughly with product and rub lightly until dry. Do not wipe off or rinse.'],0,0,1,"[0,1,2]"
1730,['attention and focus'],"['AESCULUS HIPPOCASTANUM, BUD, BARYTA CARB, CALC CARB, CALC PHOS, CLEMATIS VITALBA, FLOS, GENTIANELLA AMARELLA, FLOS, IMPATIENS GLANDULIFERA, FLOS, KALI PHOS, MAG PHOS']",['HUMAN OTC DRUG'],"[""Purpose Each dose contains equal parts: Aesculus hippocastanum, bud (Chestnut) 5X HPUS........blocks; learning disabilities Baryta Carb 9C HPUS..................................................cannot remember and learn; lack of self-confidence Calc Carb 6C HPUS.....................................................averse to work or exertion; self-willed children; easily offended Calc Phos 12X HPUS...................................................difficulty with intellectual challenges; slow comprehension Clematis vitalba, flos (Clematis) 5X HPUS.....................daydreaming; always seem to be removed from present Gentianella amarella, flos (Gentian) 5X HPUS.................easily discouraged; doubtful; skeptical Impatiens glandulifera, flos (Impatiens) 5X HPUS............children can't sit still; make nervous movements Kali Phos 6X HPUS......................................................weak memory; everything is too much; restless and nervous Mag Phos 12X HPUS...................................................drowsiness when studying; indisposition to study The letters HPUS indicate that these ingredients are officially monographed in the Homeopathic Parmacopoeia of the United States.""]","['Uses temporarily relieves symptoms of difficulty studying inability to think clearly averse to work or exertion overwhelmed restlessness indications are based on homeopathic materia medica, not clinical tests.']","['Questions or Comments? Call 800.570.0021 Between 9am-5pm PST info@siddhaflowers.com siddhaflowers.com MFD by Siddha Flower Essences Oxnard, CA 93030 Made in USA', ""Side Panel flower essences and homeopathy: Jump start your child's natural ability to heal Natural, safe and non-habit forming No contraindications. May be effectively used with drugs and other supplements Alcohol, sugar, dairy and gluten free Prepared in purified water with natural preservatives Blends time-tested natural medicine with modern technology 5 week supply siddha kids stress relief attention and focus soothe and sleep temper tamer""]",["Directions children 6 years and older 4 sprays in mouth twice per day 5 days a week children 2 years to under 6 years 2 spays in mouth only as needed children under 2 years consult a doctor ideal to use before focused activities may also be applied externally to the top of the child's head use until symptoms are relieved"],0,0,1,"[0,1,2]"
1735,['muscles and joints'],"['CALC FLUOR, CALC PHOS, CARPINUS BETULUS, FLOS, ILEX AQUIFOLIUM, FLOS, KALI SULPH, MAG PHOS, NAT PHOS, QUERCUS ROBUR, FLOS, SILICEA']",['HUMAN OTC DRUG'],"[""Purpose Each dose contains equal parts of: Calc Fluor 12X HPUS............................................swelling around tendons and joints; lower back pain; inflamed knees Calc Phos 12X HPUS..........................................pain in joints and bones; aching of limbs; pains in back or extremities Carpinus betulus, flos (Hornbeam) 5X HPUS.........missing one's former vitality Ilex aquifolium, flos (Holly) 5X HPUS....................frustrated but don't always know why Kali Sulph 6X HPUS...........................................shifting, wandering joint pains; pain in the nape, back and limbs Mag Phos 12X HPUS..........................................inflammation of joints; cramping in hands and fingers; cramps in limbs Nat Phos 6X HPUS.............................................sore pain in joints; sore hamstrings; general weakness; tired feeling Nat Sulph 6X HPUS............................................spasms in back; neck pain; cracking of joints Quercus robur, flos (Oak) 5X HPUS......................resist natural impulses to rest Silicea 12X HPUS...............................................pain in limbs; pain in coccyx; pain in knee""]","['Uses temporarily relieves symptoms of pains in back or extremities inflammation of joints swelling around tendons and joints pain in limbs indications are based on homeopathic materia medica, not clinical tests.']","['Questions or Comments? Call 800.570.0021 Between 9am-5pm PST info@siddhaflowers.com siddhaflowers.com MFD by Siddha Flower Essences Oxnard, CA 93030 Made in USA', ""Side Panel flower essences and homeopathy: Jump start your body's natural ability to heal Natural, safe and non-habit forming No contraindications. May be effectively used with drugs and other supplements Alcohol, sugar, dairy and gluten free Prepared in purified water with natural preservatives Blends time-tested natural medicine with modern technology One month supply FOUNDATIONAL REMEDIES may be used with targeted remedies stress relief daily alignment emotional detox deep-seated stress TARGETED REMEDIES sleep male balance healthy hair blood sugar female balance lung and sinus muscles and joints throat and voice youthful skin teeth and gums happy heart hearing digestion sight""]",['Directions ideal to use before and after physical activity can also be sprayed externally on desired area use 5 days per week until symptoms are relieved adults and children 12 years and over 4-5 sprays in mouth twice per day children 2 years to under 12 years 2-3 sprays in mouth twice per day children under 2 years consult a doctor'],0,0,1,"[0,1,2]"
2557,['Suave'],['HAND SANITIZER'],['HUMAN OTC DRUG'],['Purpose Antiseptic'],['Uses help decrease bacteria on the hands'],['SUAVE HAND SANITIZER - Ethyl Alcohol gel Suave Hand Sanitizer'],['Directions Wet hands thoroughly with product and rub lightly until dry. Do not rinse.'],0,0,1,"[0,1,2]"
2579,['Vaseline'],['HEALING JELLY'],['HUMAN OTC DRUG'],['Purpose skin protectant'],['Uses temporarily protects minor cuts scrapes burns temporarily protects and helps relieve chapped or cracked skin and lips helps protect from the drying effects of wind and cold weather'],['VASELINE HEALING JELLY - (petrolatum) jelly'],['Directions apply as needed'],0,0,0,"[1,2]"
2696,['H-Psoriasis Formula'],"['CALENDULA OFFICINALIS, IRIS VERSICOLOR']",['HUMAN OTC DRUG'],"['Purpose Calendula officinalis -12C HPUS (healing agent), Iris versicolor -12CHPUS (psoriasis, irregular patches with shining scales) The letters ‘HPUS’ indicate that the components in this product are officially monographed in the Homoeopathic Pharmacopoeia of the United States']","['Indications: For the temporary relief of psoriasis symptoms such as dryness, itching and irritation.']","['Dist. by Healing Natural Oils 3830 Valley Ctr Dr, #705-526, San Diego, CA 92130, USA']",['Directions: Adults and Children 4 yrs and over: Wash hands before and after use. Shake well and apply 1 or 2 drops to a cotton swab or your finger and apply directly to the affected area 3x per day. Do not oversaturate or exceed dosage.'],0,0,2,"[0,1,2]"
2716,['Diclovix'],"['DICLOFENAC SODIUM, WITH CAMPHOR, LIDOCAINE, AND METHYL SALICYLATE PATCH']",['HUMAN PRESCRIPTION DRUG'],['Purpose Topical analgesic'],"['1. INDICATIONS AND USAGE Diclofenac sodium topical solution is a nonsteroidal anti-inflammatory drug (NSAID) indicated for the treatment of signs and symptoms of osteoarthritis of the knee(s). Diclofenac sodium topical solution is a nonsteroidal anti-inflammatory drug (NSAID) indicated for the treatment of signs and symptoms of osteoarthritis of the knee(s). ( 1 )', 'Uses Temporarily relieves mild to moderate aches and pains of muscles and joints associated with: • muscle soreness • strains • sprains • arthritis • simple backache • muscle stiffness • bruises']","['11. DESCRIPTION Diclofenac sodium topical solution is a clear, colorless to faintly pink-orange solution for topical application. Diclofenac sodium topical solution contains 1.5% w/w diclofenac sodium, a benzeneacetic acid derivative that is a nonsteroidal anti-inflammatory drug (NSAID), designated chemically as 2-[(2,6-dichlorophenyl)amino]-benzeneacetic acid, monosodium salt. The molecular weight is 318.14. Its molecular formula is C 14 H 10 Cl 2 NNaO 2 and it has the following structural formula: Each 1 mL of solution contains 16.05 mg of diclofenac sodium. In addition diclofenac sodium topical solution contains the following inactive ingredients: dimethyl sulfoxide USP (DMSO, 45.5% w/w), propylene glycol, alcohol, glycerin and purified water. Chemical Structure']","['2. DOSAGE AND ADMINISTRATION For the relief of the signs and symptoms of osteoarthritis of the knee(s), the recommended dose is 40 drops on each painful knee, 4 times a day. ( 2 ) Apply diclofenac sodium topical solution to clean, dry skin. ( 2.1 ) Dispense diclofenac sodium topical solution 10 drops at a time either directly onto the knee or first into the hand and then onto the knee. Spread diclofenac sodium topical solution evenly around front, back and sides of the knee. Repeat this procedure until 40 drops have been applied and the knee is completely covered with solution. ( 2.1 ) Wash hands completely after administering the product. Wait until the area is completely dry before covering with clothing or applying sunscreen, insect repellent, cosmetics, topical medications, or other substances. Do not get diclofenac sodium topical solution in your eyes, nose or mouth. 2.1 General Instructions For the relief of the signs and symptoms of osteoarthritis of the knee(s), the recommended dose is 40 drops per knee, 4 times a day. Apply diclofenac sodium topical solution to clean, dry skin. To avoid spillage, dispense diclofenac sodium topical solution 10 drops at a time either directly onto the knee or first into the hand and then onto the knee. Spread diclofenac sodium topical solution evenly around front, back and sides of the knee. Repeat this procedure until 40 drops have been applied and the knee is completely covered with solution. To treat the other knee, if symptomatic, repeat the procedure. Application of diclofenac sodium topical solution in an amount exceeding or less than the recommended dose has not been studied and is therefore not recommended. 2.2 Special Precautions Avoid showering/bathing for at least 30 minutes after the application of diclofenac sodium topical solution to the treated knee. Wash and dry hands after use. Do not apply diclofenac sodium topical solution to open wounds. Avoid contact of diclofenac sodium topical solution with eyes and mucous membranes. Do not apply external heat and/or occlusive dressings to treated knees. Avoid wearing clothing over the diclofenac sodium topical solution-treated knee(s) until the treated knee is dry. Protect the treated knee(s) from sunlight. Wait until the treated area is dry before applying sunscreen, insect repellant, lotion, moisturizer, cosmetics, or other topical medication to the same knee you have just treated with diclofenac sodium topical solution. Until the treated knee(s) is completely dry, avoid skin-to-skin contact between other people and the treated knee(s).', 'Directions Adults, or children over the age of 12: • Apply patch to affected area 1 to 2 times daily or as directed.']",0,0,1,"[0,1,2]"
